,Brute,Greedy,Dynamic Programming,Memo,FPTAS
4,1,2,48,0,24
8,1,3,81,2,74
16,316,3,305,99,315
32,316,5,1339,755,1281
64,316,13,5975,3430,5243
128,316,18,21203,16683,19814
256,316,45,82247,73716,83726
512,316,110,311964,295806,311866
1024,316,169,1279269,1178584,1276853
2048,316,712,4989137,4498597,4988643
